,1492249
Moms Clean Air Force,6
Mendelson for Chairman 2018,6
Kulkarni for Congress,6
Gary Siegwarth,6
Galvanize America,6
Friends of Dorothy Merritt,6
Friends for Miller-Meeks,6
Fight for $15,6
Cindy Axne for Congress,6
Bill Lee for Tennessee, Inc. - Fred Decosimo, Treasurer,6
Bill & Melinda Gates Foundation,6
Arthur Winter,6
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,6
Advance California,6
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,5
and authorized by Janet Mills for Governor.,5
USA for UNHCR,5
UNITE HERE Local 1,5
Treasure Coast Conservatives,5
Sutton for South Dakota,5
Right Call Media,5
Rick Green for Congress,5
Population Connection,5
Planned Parenthood of Advocates of Michigan | PO Box 15041, Lansing, MI 48901,5
PATE FOR IOWA,5
Nevadans for Steven Horsford,5
Lupe Valdez for Governor,5
Lesley for CU Regent,5
Keyes for Wisconsin, Treasurer:  David Luebke,5
Kentucky Family Values,5
Gavin Newsom for Governor,5
Friends of Jim Mathias. Donna Richardson West, Treasurer,5
Friends of Dave Valesky,5
Friends of Adrian Plank,5
Coloradans For Victor Mitchell,5
Buffy Wicks for Assembly 2018. FPPC #1396734,5
Angie Craig for Congress,5
Anera,5
Andrew Cuomo for Governor,5
the Committee to Elect Dan Koh,4
Trent for Albany County Attorney,4
