Sampson Choate for White County Trustee,1000
Sam 4 State Rep,1000
Rocky Janda,1000
Rebecca Purington Campaign.  Missy Horesh, Treasurer,1000
National Wildlife Federation Action Fund,1000
Nancy VanReece 4 Metro Council, NVR4D8, treasurer   ,1000
NY Times Bestselling Author Andrew Shaffer,1000
Mezianne Payne (D) For Governor Of Tennessee,1000
Melinda King for McMinn County Clerk,1000
McNally for Mayor - Christina McNally, Treasurer,1000
Matthew for Maury,1000
Lori Clemons County Commissioner Race Candidate. Robert Clemons, Treasurer,1000
Len Assante for Sumner County Commission, Oliver Barry Treasurer,1000
Kim Craig Sitler,1000
Jeannine Floyd for Commissioner, Greg Johnson, Treasurer,1000
J & J Enterprises Insurance and Tax Service,1000
Friends of Gloria Johnson, Lisa Sorensen, Treasurer,1000
Friends of Dave Rosenberg,1000
Focus Middle Tennessee,1000
Elect Bill Dunn, Rita Cook Treasurer,1000
Earnhardt Films, LLC,1000
Dean Sparks for State Representative,1000
David A. Bates, Maury Co. School Board, District 7,1000
Daniel Berry,1000
Committee to Elect DeAnna Osborne, Treasurer Janey Drye,1000
Cleveland TN News. Not an Endorsement,1000
Candidate and Friends ,1000
Campaign to elect DaJuan Little,1000
Campaign to Elect Brian Rogers, Brian Rogers Treasurer,1000
Campaign for Liberty of East Tennessee,1000
Bryan Woodruff,1000
Brandon Thomas,1000
America's Future Foundation,1000
AFC Urgent Care TN,1000
100 Percent Deplorables,1000
CRC,989
Larsen for NC House 85,983
LeadJig,971
Elect Chad Austin,969
Everytown for Gun Safety Support Fund,968
Weatherspoon for TN Senate, District 31.  Martha Frizell, Treasurer.,967
Breton Phillips For US Senate,948
OAF Nation, Inc,946
Weatherspoon for TN Senate, District 31.  Martha Frizzell, Treasurer.,945
McCaskill for Missouri,930
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,928
Lisa Eastep Clark Treasurer,915
Aftab for Ohio,913
the National Network of Abortion Funds,908
Tax March,885
Oceana,881
Pfizer,877
the National Mining Association,873
Nine Line Apparel,849
Crooked Media,847
Committee to Elect Judge Sharon Marchman,844
the committee to elect Celeste Wilson for Judge. Jill Guy, Treasurer. Candidate Approved.,833
Committee to Elect David Queen,819
Kevin McCarthy for Congress,808
Beachside Media, Inc.,789
Stacey Abrams for Governor,772
Mercy Corps,768
the Democratic Governors Association.,746
The Years Project,743
Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer,733
Greenpeace USA,724
Stand Up America,723
the Committee to Elect Michele Presnell.,710
Armed American Supply,690
Environmental Defense Fund,682
Military Officers Association of America (MOAA),680
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.,674
Smart Customer,671
Sinclair Broadcast Group,671
Freedom Watch, Inc.,669
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,666
