Justice San Diego supporting Genévieve Jones-Wright for District Attorney 2018, sponsored by Alliance San Diego Mobilization Fund. Committee major funding from: Quinn Delaney,21
Judge Ciaccio for Supreme Court,21
Eleven Films was not paid in anyway to create this film. We were just inspired to!,21
The Dude's Designs,20
Smart Customer,20
Nate McMurray for Congress,20
Jetties Bracelets,20
Elizabeth Pannill Fletcher for Congress,20
Distractify,20
New Yorkers Together.,19
National Religious Campaign Against Torture,19
Kaniela Ing for Congress,19
Jamal Simmons,19
Iron Liberty Group,19
Indiana State Senate,19
Friends of Anthony Nicodemo,19
Free and Fair New Hampshire. Colin Van Ostern, Chair.,19
Donald Trump Dog Poop Bags,19
Dan David for Congress. ,19
Boughton for Governor, Michael J. Purcaro, Treasurer; Approved by Mark Boughton,19
the Women's Equality Party,18
Michigan Leadership Committee. Not authorized by any candidate.,18
Left Over Rights LLC, an independent grassroots movement that receives absolutely zero funding from any political entity  ,18
Kevin McCarthy for Congress,18
Hillsdale College,18
Build With Strength,18
American Humane,18
the Creative Sidekicks at Three(i) Creative Communications,17
South King County Deserves Better,17
Paid for by Sam Jammal for Congress 1001 E Chapman Ave. | Fullerton, CA 92831,17
New American Media Group LLC,17
NRSC,17
Maryland REALTORS® Political Fund, Michael Cerrito Treasurer,17
James Erb,17
Friends of Mark Pinsley,17
Eric Rutherford for HD 33,17
the League of Women Voters,16
Working Families Party,16
St. Martin's Press,16
Spanberger for Congress,16
Shout Your Abortion,16
Montana Wilderness Association,16
House of Patriots,16
Gathering Together,16
Friends of Roxanne Pollard 2018,16
Blackburn Tennessee Victory Fund,16
the Ford Foundation ,15
The University of Chicago,15
Sudan Relief Fund Inc.,15
Sinclair Broadcast Group,15
Scott Taylor for US Congress,15
Mike Siegel for Congress,15
Hearsey for Congress,15
Friends of Chuck Thomsen,15
Deb Haaland for Congress.,15
Citizens for Accountable Taxation, Inc. - A 501c3 Nonprofit Organization (Fair Property Taxes for All New Jersey),15
Ben Swann,15
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,14
WomenStrong International,14
The Whiskey Patriots,14
SoCal Daily Media,14
SEIU Local 2015,14
Rock Steady Ecommerce,14
No Cuts to Care,14
Friends of Tom Gordon,14
Friends of Chris Murphy,14
EveryLibrary | FEIN 46-1534149,14
Chrissy Houlahan for Congress,14
Cargill,14
By Authority: Friends of Ivan Bates, Catherine Flynn, Treasurer,14
the Democratic National Committee,13
the Committee to Elect Ayanna Pressley,13
Vennia for Congress,13
Tim Greimel for Congress,13
Teami Blends,13
Right Call Media,13
Raybould for US Senate,13
Protect Our Winters Action Fund,13
Pol. Ad. Paid for by Victoria Neave Campaign,13
Patriot Majority USA,13
Paid for by Public Safety for a Safer Santa Clara Supporting Hirokawa for Sheriff 2018, sponsored by the Deputy Sheriffs’ Association of Santa Clara County. Not authorized by a candidate or a committee controlled by a candidate. Committee major funding from Deputy Sheriffs’ Association of Santa Clara County.,13
OpsLens. ,13
Marsy’s Law for North Carolina, L.L.C.,13
Let Africa Live,13
Friends of Nate Loewentheil, Guy Tawney, Treasurer.,13
Eileen Higgins for Miami Dade County Commissioner District 5, Non-Partisan,13
Bill Schuette for Governor,13
Big Bridge,13
Balter For Senate, Lisa Balter Treasurer. Approved by Josh Balter,13
Peter G. Peterson Foundation,12
Oregonians United Against Profiling,12
Glisson for Congress,12
Authority Fredericks for Maryland; Fay Fredericks Treasurer,12
America First Policies,12
the Foundation for Independent Voter Education,11
TTG, Inc,11
Parks Project,11
Kaul for Attorney General,11
James for NY,11
Friends of James Howard, William C. Woodcock, Treasurer,11
Fighting for Our Future. This communication was not expressly authorized or requested by any candidate or by any candidate's political committees or any of its agents.,11
Conservative Tribune,11
By Authority, Friends of Aisha Khan; Keith Timmons, Treasurer,11
Armed American Supply,11
the House Victory Committee | Ashley Manlove, Treasurer ,10
the Committee to Elect Carlos R, Taylor for Harford County State's- Ezra Wilkinson, Treasurer.,10
The Years Project,10
Strasson Group,10
Right Call Media LLC,10
Paid for by Hubbell for Governor,10
Nathan Evershed for District Attorney,10
Louisville-Jefferson County Democratic Party,10
Friendship,10
Friends of Theresa Stegman, Paul White, Treasurer,10
Florida Jobs PAC,10
E.O. Wilson Biodiversity Foundation,10
the Physicians Committee for Responsible Medicine,9
the Committee to Elect Tim Wadsworth,9
Washington State Democratic Party,9
The Poor People's Campaign: A National Call for Moral Revival,9
The Bill Brawley Committee,9
Shawn Nelson For Congress,9
NowThis,9
Mississippi Development Authority,9
Maine Coast Heritage Trust,9
Lebowski Lovers,9
Indivisible Project,9
Heredia for Mesa,9
Friends of Steve Hershey,9
Friends of Al Redmer, Jr., Robert Liberto, CPA, Treasurer.,9
FRIENDS OF GENTNER DRUMMOND 2018,9
City Journal,9
By Authority, Dr Richard Bruno for Maryland; Mary Bruno, Treasurer,9
 Patients And Caregivers To Protect Dialysis Patients,9
the Brownsberger Committee,8
Teamsters Joint Council 10,8
Sharon Quirk-Silva,8
Proud Right Winger,8
Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund,8
Planned Parenthood Action Fund.,8
One Nation,8
Kanew For Congress,8
Jonathan Boos For State Representative Campaign,8
Joan Greene for Congress,8
Gray Chynoweth for New Hampshire, Jeremy Hitchcock Treasurer,8
Gavin Newsom for Governor,8
Friends of John Sarbanes,8
Florida Republican Senatorial Campaign Committee,8
By Authority of Richard McDowell, Treasurer,8
Barbara Lee Family Foundation,8
American Tort Reform Association,8
